#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	corr_coeff	# Comments
23938	07/19	03:26	8.5831	10	Cu	-1.531	29.045	-2.615	7.865	-1,-1,-1,0,-1,-1	HMSDIS	11332.596	-1.0	+1.0	1.000	1360135	1359908	0.9987	+1.001302	7.052	3.305	0.012	1.007018	# 0
23976	07/20	00:17	8.5831	15	Cu	-1.531	29.045	-6.538	7.865	-1,-1,-1,0,-1,-1	HMSDIS	8477.139	-1.0	+1.0	0.999	1026720	1027756	0.9987	+1.002312	7.052	3.305	0.012	1.009428	# HMS SINGLE;current recorded as 10,15uA
24052	07/21	22:35	8.5831	20	Cu	-1.531	29.045	-4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	16383.742	-1.0	+1.0	0.999	1977154	1978795	0.9987	+1.002133	7.052	3.305	0.012	-999	# 0
24148	07/24	14:29	8.5831	15	Cu	-1.531	29.045	-3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	13519.355	-1.0	+1.0	1.000	1675721	1675939	0.9986	+1.001532	7.052	3.305	0.012	-999	# 0
24212	07/25	22:45	8.5831	50	Cu	-1.531	29.045	+6.538	7.865	-1,-1,-1,2,-1,-1	HMSDIS	26422.352	-1.0	+3.0	1.000	1110041	3326840	0.9985	+3.004507	7.052	3.305	0.012	-999	# 0
24249	07/26	18:46	8.5831	50	Cu	-1.531	29.045	+4.868	7.865	-1,-1,-1,1,-1,-1	HMSDIS	34812.175	-1.0	+2.0	0.999	2211263	4426798	0.9986	+2.004739	7.052	3.305	0.012	-999	# 0
24361	07/29	12:06	8.5831	28	Cu	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	10905.014	-1.0	+1.0	1.000	1399711	1397382	0.9987	+1.001302	7.052	3.305	0.012	-999	# 0
24495	08/02	08:18	8.5831	6	Cu	-1.531	29.045	+2.615	7.865	-1,-1,-1,0,-1,-1	HMSDIS	5193.095	-1.0	+1.0	1.000	657620	657610	0.9988	+1.001201	7.052	3.305	0.012	-999	# 0
24496	08/02	09:09	8.5831	6	Cu	-1.531	29.045	+2.615	7.865	-1,-1,0,-1,-1,-1	HMSDIS	2678.582	+1.0	-1.0	1.000	2746761	338281	0.9987	+1.001302	7.052	3.305	0.012	-999	# 0
24498	08/02	09:47	8.5831	6	Cu	-1.531	29.045	+2.615	7.865	-1,-1,3,-1,-1,-1	HMSDIS	5331.904	+5.0	-1.0	1.000	1771630	676308	0.9989	+5.005506	7.052	3.305	0.012	-999	# 0
24551	08/03	18:00	8.5831	50	Cu	+1.531	29.045	+6.538	7.865	-1,-1,-1,2,-1,-1	HMSDIS	45267.953	-1.0	+3.0	1.000	2378036	7133262	0.9973	+3.008122	7.052	3.305	0.012	1.034833	# 0
24581	08/04	15:03	8.5831	35	Cu	+1.531	29.045	-6.538	7.865	-1,-1,-1,1,-1,-1	HMSDIS	25820.753	-1.0	+2.0	1.000	2108583	4217374	0.9965	+2.007124	7.052	3.305	0.012	1.025267	# 0
24663	08/08	07:29	8.5831	48	Cu	-1.531	29.045	+3.632	11.075	-1,-1,-1,1,-1,-1	HMSDIS	37440.333	-1.0	+2.0	1.000	2449620	4899886	0.9986	+2.003068	7.052	3.305	0.012	-999	# 0
