#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	TrackEf	Weight	# Comments
24891	08/15	00:38	10.6716	55	LH2	-3.642	16.750	+6.538	7.510	-1,-1,-1,3,-1,-1	HMSDIS	46638.561	-1.0	+5.0	1.000	2177366	10885182	0.9983	+0.107390	# 0
24922	08/15	22:47	10.6716	38	LH2	-3.642	16.750	+4.868	7.510	-1,-1,-1,2,-1,-1	HMSDIS	26451.361	-1.0	+3.0	0.998	2077430	6246811	0.9984	+0.113862	# 0
24978	08/17	14:37	10.6716	18	LH2	-3.642	16.750	+3.632	7.510	-1,-1,-1,1,-1,-1	HMSDIS	16831.675	-1.0	+2.0	0.997	1997352	4007919	0.9986	+0.119384	# 0
25021	08/19	01:28	10.6716	47	LH2	-3.642	16.750	-6.538	7.510	-1,-1,-1,3,-1,-1	HMSDIS	41601.615	-1.0	+5.0	0.998	1933186	9681952	0.9983	+0.120592	# 0
25054	08/20	03:57	10.6716	37	LH2	-3.642	16.750	-4.868	7.510	-1,-1,-1,2,-1,-1	HMSDIS	25460.189	-1.0	+3.0	0.998	1989150	5976535	0.9984	+0.118200	# 0
25089	08/21	15:14	10.6716	18	LH2	-3.642	16.750	-3.632	7.510	-1,-1,-1,1,-1,-1	HMSDIS	14018.476	-1.0	+2.0	0.997	1655613	3320411	0.9985	+0.143280	# 0
25132	08/22	13:04	10.6716	24	LH2	-3.642	16.750	-6.538	10.305	-1,-1,-1,1,-1,-1	HMSDIS	20730.811	-1.0	+2.0	0.998	2442639	4896989	0.9983	+0.096871	# 0
25133	08/22	13:31	10.6716	24	LH2	-3.642	16.750	-6.538	10.305	-1,-1,3,-1,-1,-1	HMSDIS	18744.187	+5.0	-1.0	1.000	2542933	4423528	0.9985	+0.267150	# 0
25152	08/22	22:22	10.6716	25	LH2	-3.642	16.750	-4.868	10.305	-1,-1,-1,3,-1,-1	HMSDIS	20281.601	-1.0	+5.0	0.998	958866	4804279	0.9984	+0.247436	# 0
25186	08/23	18:10	10.6716	25	LH2	-3.642	16.750	-3.632	10.305	-1,-1,-1,1,-1,-1	HMSDIS	19485.584	-1.0	+2.0	0.998	2309389	4626421	0.9985	+0.102964	# 0
25212	08/24	08:23	10.6716	16	LH2	-3.642	16.750	-2.615	10.305	-1,-1,-1,1,-1,-1	HMSDIS	13651.201	-1.0	+2.0	0.998	1628938	3262896	0.9984	+0.146968	# 0
25238	08/24	22:21	10.6716	25	LH2	-3.642	16.750	+6.538	10.305	-1,-1,-1,1,-1,-1	HMSDIS	20862.458	-1.0	+2.0	0.998	2488716	4987040	0.9985	+0.096195	# 0
25267	08/25	15:49	10.6716	28	LH2	-3.642	16.750	+4.868	10.305	-1,-1,-1,2,-1,-1	HMSDIS	26652.045	-1.0	+3.0	0.997	2115167	6362127	0.9984	+0.113038	# 0
25291	08/26	05:22	10.6716	21	LH2	-3.642	16.750	+3.632	10.305	-1,-1,-1,1,-1,-1	HMSDIS	19249.605	-1.0	+2.0	0.997	2291920	4595794	0.9984	+0.104336	# 0
25335	08/28	00:55	10.6716	10	LH2	-3.642	16.750	+2.615	10.305	-1,-1,-1,0,-1,-1	HMSDIS	8700.037	-1.0	+1.0	0.995	2084367	2095479	0.9984	+0.115740	# 0
25361	08/28	17:46	10.6716	30	LH2	-3.642	16.750	+3.632	13.510	-1,-1,-1,1,-1,-1	HMSDIS	18094.775	-1.0	+2.0	0.997	2148612	4308403	0.9984	+0.110994	# 0
